year,application_lag1,application_lag2,corp_domestic_applications,corp_domestic_registrations,loan_avg,loan_avg_lag1,loan_avg_lag2,manufacturing_productivity,registration_lag1,registration_lag2,regular_avg_wage,rnd_total,rnd_total_by_industry_app_sw,rnd_total_by_industry_consulting,rnd_total_by_industry_embedded_sw,rnd_total_by_industry_info_svc,rnd_total_by_industry_programming_svc,rnd_total_by_industry_system_sw,rnd_total_by_industry_virtual_asset,rnd_total_lag1,rnd_total_lag1_x,rnd_total_lag1_y,rnd_total_lag2,rnd_total_lag2_x,rnd_total_lag2_y,service_productivity
2005,84030.0,84030.0,98797.0,59777.0,5.59,5.9,6.24,153.3,52596.0,52596.0,184.0,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,34.4
2006,98797.0,84030.0,99381.0,60061.0,5.99,5.59,5.9,163.2,59777.0,52596.0,190.5,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,34.4
2007,99381.0,98797.0,97596.0,59193.0,6.55,5.99,5.59,171.3,60061.0,59777.0,199.45,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,34.4
2008,97596.0,99381.0,94734.0,57801.0,7.17,6.55,5.99,191.5,59193.0,60061.0,211.35,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,33.8
2009,94734.0,97596.0,92638.0,56782.0,5.65,7.17,6.55,176.8,57801.0,59193.0,218.55,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,33.2
2010,92638.0,94734.0,99507.0,60123.0,5.51,5.65,7.17,183.6,56782.0,57801.0,229.15,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,33.7
2011,99507.0,92638.0,103799.0,62210.0,5.76,5.51,5.65,191.8,60123.0,56782.0,237.75,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,33.0
2012,103799.0,99507.0,112064.0,66229.0,5.4,5.76,5.51,187.6,62210.0,60123.0,245.85,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,32.0
2013,112064.0,103799.0,122620.0,71363.0,4.64,5.4,5.76,181.1,66229.0,62210.0,254.4,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,31.2
2014,122620.0,112064.0,126026.0,73020.0,4.26,4.64,5.4,180.1,71363.0,66229.0,260.95000000000005,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,4935880.0,4935880.0,40295.35,7721315.0,31.1
2015,126026.0,122620.0,126357.0,63009.0,3.53,4.26,4.64,175.1,73020.0,71363.0,271.1,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,4935880.0,4935880.0,40295.35,4935880.0,34.5
2016,126357.0,126026.0,123665.0,68466.0,3.37,3.53,4.26,174.8,63009.0,73020.0,282.0,6195055.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,4935880.0,4935880.0,40295.35,4935880.0,31.9
2017,123665.0,126357.0,118519.0,74158.0,3.48,3.37,3.53,182.9,68466.0,63009.0,285.1,7245303.0,20644.0,2805.0,60.0,507.0,11798.0,34577.0,10100.0,6195055.0,80491.0,6195055.0,4935880.0,40295.35,4935880.0,32.0
2018,118519.0,123665.0,121192.0,70984.0,3.66,3.48,3.37,185.4,74158.0,68466.0,300.9,8042205.0,20644.0,2805.0,60.0,507.0,11798.0,34577.0,10100.0,7245303.0,80491.0,7245303.0,6195055.0,40295.35,6195055.0,33.5
2019,121192.0,118519.0,128165.0,75690.0,3.45,3.66,3.48,196.6,70984.0,74158.0,316.5,80491.0,20644.0,2805.0,60.0,507.0,11798.0,34577.0,10100.0,8042205.0,80491.0,8042205.0,7245303.0,40295.35,7245303.0,33.6
2020,128165.0,121192.0,136734.0,83275.0,2.8,3.45,3.66,194.1,75690.0,70984.0,323.4,99.7,23.6,45.5,0.0,20.0,0.0,10.6,0.0,80491.0,80491.0,7822368.0,8042205.0,80491.0,8042205.0,39.5
2021,136734.0,128165.0,145179.0,89690.0,2.88,2.8,3.45,216.5,83275.0,75690.0,333.6,8444266.0,27901.3,457.75,123.5,1266.5,6890.5,16562.3,0.0,99.7,40295.35,7721315.0,80491.0,80491.0,7822368.0,34.0
2022,145179.0,136734.0,148669.0,82826.0,4.29,2.88,2.8,226.7,89690.0,83275.0,348.0,106304.0,55779.0,870.0,247.0,2513.0,13781.0,33114.0,0.0,8444266.0,99.7,8444266.0,99.7,80491.0,7721315.0,36.6
2023,148669.0,145179.0,157782.0,84108.0,5.19,4.29,2.88,213.7,82826.0,89690.0,362.3,108623.0,50273.0,867.0,90.0,5563.0,2787.0,49043.0,0.0,106304.0,106304.0,9410170.0,8444266.0,99.7,8444266.0,36.6
2024,148669.0,145179.0,157782.0,84108.0,4.73,5.19,4.29,213.7,82826.0,89690.0,379.6,108623.0,50273.0,867.0,90.0,5563.0,2787.0,49043.0,0.0,108623.0,106304.0,9410170.0,106304.0,99.7,8444266.0,36.6
2025,148669.0,145179.0,157782.0,84108.0,4.73,5.19,4.29,213.7,82826.0,89690.0,379.6,108623.0,50273.0,867.0,90.0,5563.0,2787.0,49043.0,0.0,108623.0,106304.0,9410170.0,108623.0,99.7,8444266.0,33.75
